本日,本日,收盘价,成交量,流通市值,收盘价,成交金额
2562.4,748.3,4.41,19784521,14062267089,2815.7976,173670539178
2562.4,752.4,4.39,7844900,13998492635,2808.9146,173944883280
2566.1,747.4,4.37,7030574,13934718182,2797.2596,153957510634
2592.1,758,4.41,11686000,14062267089,2814.9944,162523259781
2620.3,800.8,4.37,15276871,13934718182,2774.7532,171140338786
2622.1,805.8,4.37,11797714,13934718182,2794.5523,178156148351
2632.9,814,4.36,10596800,13902830955,2768.6795,176475728419
2637.6,835.2,4.37,28405378,13934718182,2777.5559,255209231213
2647,848.5,4.46,22102422,14221703224,2821.4957,196891483092
2647,865.7,4.56,21075044,14540575494,2867.8376,216327400623
2646.5,872.3,4.67,12226607,14891334990,2908.766,171115635675
2641,875.6,4.69,20518171,14955109444,2932.5058,164607873474
2627.4,875,4.75,13792844,15146432806,2952.3383,170866349933
2622.4,874.9,4.74,9151085,15114545579,2941.007,147439134515
2619.2,865.4,4.78,9918424,15242094487,2944.541,158774666103
2619.2,863.6,4.79,10909405,15273981714,2937.3601,175356381731
2616.9,868.6,4.79,12685453,15273981714,2923.2775,178858104012
2616.9,881.2,4.77,8221600,15210207260,2899.9446,148077349286
2616.3,883,4.75,14069447,15146432806,2886.974,204289434231
2609.6,880,4.81,8827659,15337756168,2924.2006,149071212019
2594.4,882.4,4.79,12959300,15273981714,2901.1766,149088843109
2594.4,875.6,4.87,12547367,15529079530,2931.6926,152162962633
2594.1,880.9,4.9,25263183,15624741210,2937.6168,140766389028
2593,869.2,4.82,18363756,15369643395,2942.1853,176533201236
2591.5,866,4.77,13221737,15210207260,2930.5462,142918869590
2591.1,867.3,4.75,12857604,15146432806,2917.7609,152181407951
2590.6,866.4,4.75,21709695,15146432806,2915.3022,141236258614
2590,865.3,4.82,28114604,15369643395,2928.2295,154251421843
2590,855.1,4.88,27249574,15560966757,2933.3634,205568813500
2590,861.1,5.03,12286260,16039275161,3011.0588,163180842756
2588.8,867,5.02,14266422,16007387934,3005.2488,202266388594
2584,867.6,5.01,25080155,15975500707,3015.2633,218657994390
2583.6,861.2,5.08,24556279,16198711296,3043.9428,229566616522
2575.8,845.2,5.11,31424998,16294372977,3044.9028,266541056907
2543.9,842.5,5,24264355,15943613480,2978.8784,183641767342
2542.6,836.2,5.26,32292379,16772681381,2996.7926,208618648070
2542.6,833.5,5.3,22546012,16900230289,2976.2837,172516055227
2542.1,828.4,5.34,43028252,17027779197,2982.0738,244315077409
2539.1,830.1,5.31,72141764,16932117516,3008.1479,211237183001
2539.1,833.9,5.15,31535312,16421921884,3001.9802,276662458531
2543.2,829.7,5.1,33146105,16262485750,2987.1186,288296546353
2543.2,830.6,5.01,21164987,15975500707,2917.8029,225567257986
2545.5,811.3,4.96,9641776,15816064572,2890.158,136935231690
2526.2,812.1,4.98,14778478,15879839026,2887.6221,143141637324
2528,801.1,4.99,16203340,15911726253,2881.9743,194303111838
2528.6,794.8,5.04,15912922,16071162388,2910.7406,191748206694
2526.9,791.6,5.05,26242370,16103049615,2909.3796,223063953327
2525.9,778,5.12,40061443,16326260204,2925.7162,254479985774
2525.1,771.3,4.93,13344918,15720402891,2852.1302,162489831384
2523.5,774.1,4.91,16525322,15656628437,2827.7978,164850546682
2523.7,773.1,4.98,15511541,15879839026,2861.4181,175200844236
2524.8,771.1,4.96,15512345,15816064572,2862.2803,181118915530
2525.2,776.7,5.01,20111774,15975500707,2890.0809,208073320323
2528.4,779.5,5.07,13288240,16166824069,2898.6961,191280403618
2527.8,780.6,5.09,21194843,16230598523,2905.8054,197105555809
2527.8,780.3,5.11,17865478,16294372977,2914.6964,202855039153
2527.8,786.6,5.11,30382273,16294372977,2909.9106,227253813690
2527.8,772.9,5.15,28984469,16421921884,2892.3782,193768714252
2528.5,755,5.06,20664254,16134936842,2852.9948,162689316181
2526.9,754.8,5.11,28569109,16294372977,2852.5153,192869487264
2526.9,746.7,5.22,34345468,16645132473,2891.7046,193629366619
2525,739.2,5.25,29996938,16740794154,2905.9688,202777774098
2521.7,735.9,5.07,27340837,16166824069,2870.6046,199210776230
2518.9,726.3,5.14,35015456,16390034657,2882.2962,247875177676
2521.5,712.6,5.31,43857472,16932117516,2955.711,226203068861
2517.8,709.8,5.24,37319692,16708906927,2938.6781,226262785583
2538.8,712.3,5.15,36496706,16421921884,2883.6107,201223315432
2540.4,712.3,5.22,35202021,16645132473,2903.7131,202624124954
2544,707.7,5.35,40436758,17059666424,2939.2106,274176261975
2544,707.7,5.23,26064333,16677019700,2850.9537,197446880734
2544,710.3,5.28,40662770,16836455835,2893.7567,218892618337
